Year,Price-weighted Capital Appreciation,Price-weighted Appreciation Index,Low dividend return ,High dividend return ,Total return with low dividends,Total return with high dividends,Equal-weighted capital appreciation returns,Equal-weighted capital appreciation return index,Total number of securities  in index,Insurance,Transportation,Banks,Mining,Utility,Industrials and other
1902,0.0528922771182898,3.43070564107405,0.0415094339622642,0.0415094339622642,0.094401711080554,0.094401711080554,0.0641602843644911,4355.86216437185,77,0,11,0,2,0,64
1903,-0.12875038248648,2.98900097758724,0.0434782608695652,0.0434782608695652,-0.0852721216169146,-0.0852721216169146,-0.179308200304432,3574.82035890416,80,0,10,0,2,0,68
1904,0.14942089262537,3.43562017171643,0.0471841704718417,0.0471841704718417,0.196605063097211,0.196605063097211,0.244156577566927,4447.63626315078,81,0,13,0,2,0,66
1905,0.0667025974878117,3.66478496115144,0.04,0.04,0.106702597487812,0.106702597487812,0.0787658851381476,4797.95827019037,85,0,13,0,2,0,70
1906,-0.0109338986598811,3.62471457377595,0.0419287211740042,0.0419287211740042,0.030994822514123,0.030994822514123,-0.0122913592142607,4738.98484159643,89,0,12,0,2,0,75
1907,-0.262633706096389,2.67274235172358,0.0447154471544715,0.0447154471544715,-0.217918258941917,-0.217918258941917,-0.306388832132874,3287.01281048431,92,0,12,0,2,0,78
1908,0.284714129234408,3.43370986306248,0.060882800608828,0.060882800608828,0.345596929843236,0.345596929843236,0.496173267409324,4917.94069667861,91,0,13,0,2,0,76
1909,0.181171579537152,4.05580050262581,0.0487264673311185,0.0487264673311185,0.22989804686827,0.22989804686827,0.222200141664132,6010.7078161764,90,0,13,0,2,0,75
1910,-0.155013050315794,3.42709849524145,0.045631067961165,0.045631067961165,-0.109381982354629,-0.109381982354629,-0.158898681989522,5055.61426636185,88,0,13,0,0,0,75
1911,0.0217292959389617,3.50156693265653,0.0519337016574586,0.0519337016574586,0.0736629975964203,0.0736629975964203,-0.011748162480107,4996.22008852388,90,0,14,0,0,0,76
1912,0.000281164599928996,3.50255144932227,0.0526893523600439,0.0526893523600439,0.0529705169599728,0.0529705169599728,0.0125648924976058,5058.99705683056,88,0,14,0,0,0,74
1913,-0.144393468823698,2.99680589582116,0.0511727078891258,0.0511727078891258,-0.0932207609345725,-0.0932207609345725,-0.156818915103725,4265.65062686546,88,0,13,0,0,0,75
1914,-0.084737737337602,2.74286334496929,0.0522388059701493,0.0522388059701493,-0.0324989313674527,-0.0324989313674527,-0.178755379655772,3503.14262958124,85,0,14,0,0,0,71
1915,0.15884083103861,3.17854203810955,0.0585034013605442,0.0585034013605442,0.217344232399154,0.217344232399154,0.46049690160436,5116.32895638155,93,0,13,0,0,0,80
1916,0.0128713568353704,3.21945418689828,0.0590717299578059,0.0590717299578059,0.0719430867931763,0.0719430867931763,0.125822025944641,5760.07583107271,95,0,13,0,0,0,82
1917,-0.234781121355194,2.46358712274663,0.0704081632653061,0.0704081632653061,-0.164372958089888,-0.164372958089888,-0.249135112975616,4325.03868815029,88,0,13,0,0,0,75
1918,0.0288292573681717,2.5346105099572,0.0838235294117647,0.0838235294117647,0.112652786779936,0.112652786779936,0.0740723512147434,4645.40447287631,89,0,13,0,0,0,76
1919,0.0938216260768228,2.77241178947279,0.0670886075949367,0.0670886075949367,0.160910233671759,0.160910233671759,0.16380935746734,5406.36519475409,86,0,13,0,0,0,73
1920,-0.207397447371413,2.19742066127372,0.0571748878923767,0.0571748878923767,-0.150222559479037,-0.150222559479037,-0.159367640489212,4544.76553004313,90,0,12,0,0,0,78
1921,0.0426050043771775,2.29104177816579,0.0675477239353892,0.0675477239353892,0.110152728312567,0.110152728312567,0.151277059655993,5232.28429625397,91,0,13,0,0,0,78
1922,0.197383080454768,2.74325466179072,0.0697674418604651,0.0697674418604651,0.267150522315233,0.267150522315233,0.328416662504118,6950.6536421024,89,0,13,0,0,0,76
1923,-0.0213414997042491,2.68470949323744,0.0603644646924829,0.0603644646924829,0.0390229649882339,0.0390229649882339,0.0792492774574043,7501.48792109569,89,0,13,0,0,0,76
1924,0.193373688682533,3.20386167098577,0.064327485380117,0.064327485380117,0.25770117406265,0.25770117406265,0.425814479555892,10695.7300961119,87,0,13,0,0,0,74
1925,0.232166835501913,3.94769209652441,0.0590551181102362,0.0590551181102362,0.291221953612149,0.291221953612149,0.223064796698913,13081.5709555475,86,0,13,0,0,0,73
